  (0 0 | 0 0) -> (0|0) -> (0) =   4.78506540470551
  (0 0 | 0 0) -> (0|0) -> (0) =   4.78506540470551
  (0 0 | 0 0) -> (0|0) -> (0) =   4.78506540470551
  (0 0 | 0 0) -> (0|0) -> (0) =   4.78506540470551
  (0 0 | 0 0) -> (0|0) -> (0) =   4.78506540470551
  (0 0 | 0 0) -> (0|0) -> (0) =   4.78506540470551
  (0 0 | 0 0) -> (0|0) -> (0) =   4.78506540470551
  (0 0 | 0 0) -> (0|0) -> (0) =   4.78506540470551
  (1 0 | 0 0) -> (1|0) -> (1) =   0.74138035197341
  (0 1 | 0 0) -> (1|0) -> (1) =   0.74138035197341
  (1 0 | 0 0) -> (1|0) -> (1) =   0.74138035197341
  (0 1 | 0 0) -> (1|0) -> (1) =   0.74138035197341
  (0 0 | 1 0) -> (0|1) -> (1) =   0.74138035197341
  (0 0 | 0 1) -> (0|1) -> (1) =   0.74138035197341
  (0 0 | 1 0) -> (0|1) -> (1) =   0.74138035197341
  (0 0 | 0 1) -> (0|1) -> (1) =   0.74138035197341
  (1 1 | 0 0) -> (2|0) -> (3) =   1.11894686634247
  (1 1 | 0 0) -> (2|0) -> (3) =   1.11894686634247
  (1 1 | 0 0) -> (2|0) -> (3) =   1.11894686634247
  (1 1 | 0 0) -> (2|0) -> (3) =   1.11894686634247
  (0 0 | 1 1) -> (0|2) -> (2) =   1.11894686634247
  (0 0 | 1 1) -> (0|2) -> (2) =   1.11894686634247
  (0 0 | 1 1) -> (0|2) -> (2) =   1.11894686634247
  (0 0 | 1 1) -> (0|2) -> (2) =   1.11894686634247
  (1 0 | 1 0) -> (1|1) -> (2) =   0.13687338535439
  (0 1 | 1 0) -> (1|1) -> (2) =   0.13687338535439
  (1 0 | 0 1) -> (1|1) -> (2) =   0.13687338535439
  (0 1 | 0 1) -> (1|1) -> (2) =   0.13687338535439
  (1 0 | 1 0) -> (1|1) -> (2) =   0.13687338535439
  (1 0 | 0 1) -> (1|1) -> (2) =   0.13687338535439
  (0 1 | 1 0) -> (1|1) -> (2) =   0.13687338535439
  (0 1 | 0 1) -> (1|1) -> (2) =   0.13687338535439
  (1 1 | 1 0) -> (2|1) -> (4) =   0.25663339473097
  (1 1 | 1 0) -> (2|1) -> (4) =   0.25663339473097
  (1 1 | 0 1) -> (2|1) -> (4) =   0.25663339473097
  (1 1 | 0 1) -> (2|1) -> (4) =   0.25663339473097
  (1 0 | 1 1) -> (1|2) -> (3) =   0.25663339473097
  (1 0 | 1 1) -> (1|2) -> (3) =   0.25663339473097
  (0 1 | 1 1) -> (1|2) -> (3) =   0.25663339473097
  (0 1 | 1 1) -> (1|2) -> (3) =   0.25663339473097
  (1 1 | 1 1) -> (2|2) -> (5) =   0.81720632152606
  (1 1 | 1 1) -> (2|2) -> (5) =   0.81720632152606
  (1 1 | 1 1) -> (2|2) -> (5) =   0.81720632152606
  (1 1 | 1 1) -> (2|2) -> (5) =   0.81720632152606
  (1 1 | 1 1) -> (2|2) -> (5) =   0.81720632152606
  (1 1 | 1 1) -> (2|2) -> (5) =   0.81720632152606
  (1 1 | 1 1) -> (2|2) -> (5) =   0.81720632152606
  (1 1 | 1 1) -> (2|2) -> (5) =   0.81720632152606
  (2 2 | 0 0) -> (5|0) -> (15) =   1.11581381215243
  (2 2 | 0 0) -> (5|0) -> (15) =   1.11581381215243
  (2 2 | 0 0) -> (5|0) -> (15) =   1.11581381215243
  (2 2 | 0 0) -> (5|0) -> (15) =   1.11581381215243
  (0 0 | 2 2) -> (0|5) -> (5) =   1.11581381215243
  (0 0 | 2 2) -> (0|5) -> (5) =   1.11581381215243
  (0 0 | 2 2) -> (0|5) -> (5) =   1.11581381215243
  (0 0 | 2 2) -> (0|5) -> (5) =   1.11581381215243
